City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-19.91,71,0,7.72,CA,2025-02-05
1,mozarlandia,-14.7447,-50.5706,22.87,91,92,1.63,BR,2025-02-05
2,huaquillas,-3.4833,-80.2333,27.13,78,75,2.57,EC,2025-02-05
3,greenville,35.6127,-77.3663,14.01,80,6,6.26,US,2025-02-05
4,port-aux-francais,-49.35,70.2167,5.88,98,100,9.41,TF,2025-02-05
5,raduzhny,62.0961,77.475,-23.31,100,99,1.21,RU,2025-02-05
6,east london,-33.0153,27.9116,24.95,90,100,4.77,ZA,2025-02-05
7,college,64.8569,-147.8028,-11.41,78,100,0.0,US,2025-02-05
8,grytviken,-54.2811,-36.5092,3.31,86,53,9.59,GS,2025-02-05
9,gadzhiyevo,69.2551,33.3362,-17.47,95,100,7.49,RU,2025-02-05
10,stanley,54.868,-1.6985,4.01,84,20,4.63,GB,2025-02-05
11,santa terezinha,-29.9002,-50.0904,25.14,92,2,4.51,BR,2025-02-05
12,ushuaia,-54.8,-68.3,6.42,96,100,1.44,AR,2025-02-05
13,adamstown,-25.066,-130.1015,25.2,77,5,5.5,PN,2025-02-05
14,laojunmiao,39.8333,97.7333,-13.32,66,100,1.26,CN,2025-02-05
15,edinburgh of the seven seas,-37.0676,-12.3116,16.22,74,29,5.66,SH,2025-02-05
16,kabinda,-6.1333,24.4833,19.06,97,100,0.79,CD,2025-02-05
17,de soto,34.9248,-89.9904,9.13,93,100,3.09,US,2025-02-05
18,nova sintra,14.8667,-24.7167,21.62,71,50,10.17,CV,2025-02-05
19,hawaiian paradise park,19.5933,-154.9731,25.73,70,40,3.6,US,2025-02-05
20,tura,25.5198,90.2201,14.96,66,0,1.44,IN,2025-02-05
21,invercargill,-46.4,168.35,21.11,46,100,0.42,NZ,2025-02-05
22,longyearbyen,78.2186,15.6401,-3.09,68,40,12.86,SJ,2025-02-05
23,iskateley,67.6803,53.1512,-7.91,94,100,5.68,RU,2025-02-05
24,ponta delgada,37.7333,-25.6667,18.44,100,100,3.09,PT,2025-02-05
25,keuruu,62.2667,24.7,-6.77,94,100,5.85,FI,2025-02-05
26,hermanus,-34.4187,19.2345,19.51,77,66,3.56,ZA,2025-02-05
27,port mathurin,-19.6833,63.4167,26.95,80,2,4.01,MU,2025-02-05
28,mbandaka,0.0487,18.2603,24.9,73,100,1.96,CD,2025-02-05
29,guerrero negro,27.9769,-114.0611,15.07,83,0,5.88,MX,2025-02-05
30,olonkinbyen,70.9221,-8.7187,-1.75,79,88,8.81,SJ,2025-02-05
31,santa marta de ortigueira,43.6833,-7.85,11.25,95,100,2.17,ES,2025-02-05
32,tolanaro,-25.0319,46.9987,23.65,92,100,3.88,MG,2025-02-05
33,lebu,-37.6167,-73.65,14.94,79,6,1.41,CL,2025-02-05
34,west island,-12.1568,96.8225,28.99,89,40,4.12,CC,2025-02-05
35,shukat as sufi,31.26,34.2826,14.01,76,24,3.49,PS,2025-02-05
36,chervona sloboda,49.3789,32.1464,-1.39,76,100,4.29,UA,2025-02-05
37,jamestown,42.097,-79.2353,-6.2,73,100,5.66,US,2025-02-05
38,bredasdorp,-34.5322,20.0403,19.14,71,25,3.37,ZA,2025-02-05
39,keflavik,64.0049,-22.5624,-1.76,93,100,15.95,IS,2025-02-05
40,laguna,38.421,-121.4238,13.98,90,100,14.4,US,2025-02-05
41,kodiak,57.79,-152.4072,0.73,86,20,0.0,US,2025-02-05
42,ciudad lazaro cardenas,17.9583,-102.2,25.4,75,0,2.3,MX,2025-02-05
43,bilibino,68.0546,166.4372,-42.33,96,45,1.47,RU,2025-02-05
44,guymon,36.6828,-101.4816,-2.0,64,0,5.14,US,2025-02-05
45,kiunga,-6.1219,141.2906,32.04,55,99,1.65,PG,2025-02-05
46,vila franca do campo,37.7167,-25.4333,18.27,99,100,3.0,PT,2025-02-05
47,coalcoman de vazquez pallares,18.7833,-103.15,20.54,69,1,1.37,MX,2025-02-05
48,houghton,47.1219,-88.569,-8.29,75,100,6.17,US,2025-02-05
49,robore,-18.3333,-59.75,26.35,58,79,1.73,BO,2025-02-05
50,wailua homesteads,22.0669,-159.378,23.44,58,0,8.23,US,2025-02-05
51,puerto ayora,-0.7393,-90.3518,24.75,99,8,0.45,EC,2025-02-05
52,ribeira grande,38.5167,-28.7,18.21,96,100,7.6,PT,2025-02-05
53,sur,22.5667,59.5289,18.23,61,0,0.8,OM,2025-02-05
54,ocean shores,46.9737,-124.1563,3.34,88,20,3.09,US,2025-02-05
55,yellowknife,62.456,-114.3525,-11.44,92,100,2.57,CA,2025-02-05
56,punta arenas,-53.15,-70.9167,10.06,71,40,8.23,CL,2025-02-05
57,zhaotong,27.3167,103.7167,1.44,97,100,2.28,CN,2025-02-05
58,wewak,-3.5534,143.6268,28.62,76,82,1.43,PG,2025-02-05
59,sitka,57.0531,-135.33,6.94,29,0,2.06,US,2025-02-05
60,nuuk,64.1835,-51.7216,-12.66,66,82,8.23,GL,2025-02-05
61,uturoa,-16.7333,-151.4333,28.21,69,26,4.01,PF,2025-02-05
62,new norfolk,-42.7826,147.0587,20.4,30,10,1.4,AU,2025-02-05
63,waitangi,-43.9535,-176.5597,14.34,76,81,3.58,NZ,2025-02-05
64,egilsstadir,65.2653,-14.3948,-1.05,74,75,8.23,IS,2025-02-05
65,kostanay,53.1667,63.5833,-6.84,79,0,5.0,KZ,2025-02-05
66,madison heights,42.4859,-83.1052,-3.81,67,0,3.6,US,2025-02-05
67,la passe,45.5549,-0.8967,6.87,75,4,1.36,FR,2025-02-05
68,rodolfo sanchez taboada,31.7167,-116.5667,13.94,87,16,0.89,MX,2025-02-05
69,macapa,0.0389,-51.0664,26.99,89,0,1.54,BR,2025-02-05
70,pereira barreto,-20.6383,-51.1092,22.57,87,100,3.58,BR,2025-02-05
71,papatowai,-46.5619,169.4708,18.62,54,100,2.28,NZ,2025-02-05
72,saipan,15.1355,145.701,31.39,75,20,7.72,MP,2025-02-05
73,bathsheba,13.2167,-59.5167,26.34,73,20,6.69,BB,2025-02-05
74,qaqortoq,60.7167,-46.0333,-19.31,64,15,5.3,GL,2025-02-05
75,port lincoln,-34.7333,135.8667,19.94,61,11,7.4,AU,2025-02-05
76,camarinas,43.1311,-9.1817,11.07,82,100,4.17,ES,2025-02-05
77,san patricio,28.017,-97.5169,21.97,92,100,3.77,US,2025-02-05
78,bom jesus,-9.0744,-44.3586,22.53,67,95,1.28,BR,2025-02-05
79,broome,42.2506,-75.833,-4.13,76,100,5.14,US,2025-02-05
80,georgetown,5.4112,100.3354,26.96,61,20,3.6,MY,2025-02-05
81,novodvinsk,64.4165,40.8122,-13.14,97,97,0.69,RU,2025-02-05
82,cabo san lucas,22.8909,-109.9124,22.17,49,0,4.12,MX,2025-02-05
83,hamilton,39.1834,-84.5333,4.12,68,100,1.79,US,2025-02-05
84,chonchi,-42.6128,-73.8092,13.4,81,0,0.39,CL,2025-02-05
85,thinadhoo,0.5333,72.9333,27.83,65,33,4.06,MV,2025-02-05
86,silifke,36.3778,33.9344,12.51,72,97,3.24,TR,2025-02-05
87,tiksi,71.6872,128.8694,-26.49,91,100,2.82,RU,2025-02-05
88,boende,-0.2167,20.8667,24.22,72,100,1.36,CD,2025-02-05
89,ust-nera,64.5667,143.2,-38.27,94,51,1.1,RU,2025-02-05
90,barcelos,41.5388,-8.6151,6.95,85,90,1.75,PT,2025-02-05
91,puerto natales,-51.7236,-72.4875,6.28,91,75,2.1,CL,2025-02-05
92,arraial do cabo,-22.9661,-42.0278,24.98,88,0,5.66,BR,2025-02-05
93,jinghong,21.991,100.7341,14.04,92,91,0.5,CN,2025-02-05
94,kavieng,-2.5744,150.7967,29.43,67,74,4.37,PG,2025-02-05
95,luderitz,-26.6481,15.1594,19.07,63,49,7.44,NA,2025-02-05
96,darwin,-12.4611,130.8418,28.3,89,75,1.54,AU,2025-02-05
97,blackmans bay,-43.0167,147.3167,19.74,44,7,3.16,AU,2025-02-05
98,albany,42.6001,-73.9662,-3.77,75,47,4.62,US,2025-02-05
99,constantia,44.1833,28.65,-0.62,69,9,5.22,RO,2025-02-05
100,colonia,50.9333,6.95,0.54,86,75,2.06,DE,2025-02-05
101,queenstown,-31.8976,26.8753,23.56,45,87,1.94,ZA,2025-02-05
102,avarua,-21.2078,-159.775,27.03,89,100,5.14,CK,2025-02-05
103,pakxan,18.3778,103.6601,17.32,61,3,1.0,LA,2025-02-05
104,wotje,9.4543,170.2367,26.78,84,99,10.38,MH,2025-02-05
105,lavrio,37.7145,24.0565,8.53,62,17,13.52,GR,2025-02-05
106,mar del plata,-38.0023,-57.5575,20.47,60,0,1.34,AR,2025-02-05
107,zinjibar,13.1287,45.3807,22.15,68,14,5.53,YE,2025-02-05
108,nemuro,43.3236,145.575,-0.4,68,16,10.53,JP,2025-02-05
109,yueyang,29.3333,113.0919,9.16,57,100,2.97,CN,2025-02-05
110,coquimbo,-29.9533,-71.3436,16.85,88,20,1.54,CL,2025-02-05
111,galeana,24.8333,-100.0667,12.68,78,52,1.9,MX,2025-02-05
112,porto novo,6.4965,2.6036,28.9,80,36,2.49,BJ,2025-02-05
113,parham,17.0968,-61.7705,24.83,83,75,4.63,AG,2025-02-05
114,sao joaquim,-28.2939,-49.9317,15.62,97,7,1.67,BR,2025-02-05
115,dunkirk,51.05,2.3667,5.59,91,100,4.97,FR,2025-02-05
116,figuig (centre),32.1089,-1.2286,7.67,52,16,2.83,MA,2025-02-05
117,abu zabad,12.35,29.25,22.2,25,0,5.99,SD,2025-02-05
118,cidade velha,14.9167,-23.6167,20.26,64,20,7.72,CV,2025-02-05
119,quellon,-43.1167,-73.6167,11.93,80,11,1.93,CL,2025-02-05
120,portage la prairie,49.9728,-98.2926,-19.5,64,100,2.03,CA,2025-02-05
121,nadym,65.5333,72.5167,-18.55,98,100,3.15,RU,2025-02-05
122,kupang,-10.1667,123.5833,31.32,70,40,5.14,ID,2025-02-05
123,enewetak,11.3474,162.3373,26.8,71,80,8.81,MH,2025-02-05
124,weno,7.4515,151.8468,28.97,79,100,4.12,FM,2025-02-05
125,st. john's,47.5649,-52.7093,-2.24,78,20,10.29,CA,2025-02-05
126,aasiaat,68.7098,-52.8699,-22.28,96,100,1.91,GL,2025-02-05
127,songadh,21.1667,73.5667,16.53,26,3,0.59,IN,2025-02-05
128,whangarei,-35.7317,174.3239,26.57,43,1,2.1,NZ,2025-02-05
129,ceeldheer,3.8488,47.1806,23.05,83,94,7.87,SO,2025-02-05
130,ilulissat,69.2167,-51.1,-19.99,71,100,5.14,GL,2025-02-05
131,cedeira,43.6797,-8.0209,10.54,95,100,3.52,ES,2025-02-05
132,ancud,-41.8697,-73.8203,13.95,76,4,0.87,CL,2025-02-05
133,walvis bay,-22.9575,14.5053,18.96,83,96,1.37,NA,2025-02-05
134,callao,-12.0667,-77.15,25.95,78,0,4.63,PE,2025-02-05
135,port alfred,-33.5906,26.891,22.32,96,100,1.34,ZA,2025-02-05
136,penzance,50.1186,-5.5371,7.38,73,0,6.43,GB,2025-02-05
